0,1,2,3
0.55529225,0.6015346,0.47972688,0.54958385
0.56833684,0.6398578,0.48225757,0.580899
0.56271535,0.66058046,0.46104455,0.5866006
0.5648783,0.6527689,0.48959163,0.60154885
0.5598274,0.66048974,0.4713343,0.6003872
0.5599987,0.6590564,0.48114654,0.6078767
0.55478865,0.66054016,0.46967933,0.60429674
0.556124,0.6579169,0.4748835,0.60506827
0.55338377,0.65721774,0.46949616,0.60210043
0.5541995,0.6566861,0.47042313,0.6018513
0.55115217,0.65492713,0.46770892,0.6006123
0.55017734,0.6542297,0.46700427,0.6007209
0.54776466,0.6526301,0.46609956,0.60067284
0.54639673,0.6523552,0.4650393,0.60106564
0.54428536,0.65120816,0.46472582,0.6017394
0.54258025,0.6508877,0.46371448,0.6024065
0.54066974,0.65003765,0.46358994,0.603415
0.5390033,0.6498137,0.46280316,0.6042976
0.5373032,0.649169,0.4627358,0.60535985
0.5356648,0.64888275,0.4621698,0.6063283
0.5340771,0.6484342,0.46204203,0.60745835
0.5325348,0.6481161,0.46166712,0.60845196
0.5310441,0.6477594,0.46152565,0.6095703
0.52961904,0.64748436,0.46126708,0.6105952
0.49827868,0.46640244,0.5005554,0.48077846
0.502996,0.4740803,0.5043484,0.48895565
0.5008713,0.47237304,0.50404125,0.48749924
0.50237536,0.4737238,0.5007203,0.4847121
0.4997793,0.47196406,0.5003152,0.48448893
0.4988188,0.4719801,0.49851936,0.48408124
0.49862465,0.47229695,0.4976668,0.4835025
0.4986964,0.47251728,0.496775,0.48266864
0.49853647,0.47276217,0.4958948,0.48211056
0.49835828,0.47292733,0.49514455,0.4816422
0.4981334,0.47302744,0.49449313,0.4812679
0.4979816,0.4731011,0.49393785,0.48089737
0.4978502,0.4731688,0.4934554,0.4805686
0.49775553,0.473227,0.49304798,0.48027092
0.49767265,0.47327211,0.49271154,0.48002303
0.49760854,0.47330806,0.49244583,0.47982508
0.4975551,0.47333673,0.49225348,0.47968957
0.49751237,0.4733613,0.49213752,0.47962385
