Idx,0,1,2,3
0,0.011657715,-0.0005493164,0.012817383,0.00061035156
0,0.0128479,-0.00061035156,0.014129639,0.0006713867
0,0.013885498,-0.0006713867,0.015258789,0.0007019043
0,0.015167236,-0.0007019043,0.016662598,0.00076293945
0,0.01626587,-0.00076293945,0.017852783,0.0008239746
0,0.017303467,-0.00079345703,0.018981934,0.00088500977
0,0.01828003,-0.0008544922,0.020050049,0.0009460449
0,0.01940918,-0.00091552734,0.021270752,0.0009765625
0,0.020568848,-0.0009460449,0.02255249,0.0010375977
0,0.021514893,-0.0009765625,0.023590088,0.0010986328
0,0.02267456,-0.0010375977,0.024841309,0.001159668
0,0.023803711,-0.0010986328,0.026123047,0.0011901855
0,0.024719238,-0.0011291504,0.027130127,0.0012512207
0,0.025512695,-0.001159668,0.027954102,0.0012817383
0,0.025970459,-0.0011901855,0.0284729,0.0013122559
0,0.02609253,-0.0011901855,0.02859497,0.0013122559
0,0.025848389,-0.0011901855,0.028320312,0.0012817383
0,0.025177002,-0.001159668,0.02758789,0.0012512207
0,0.024169922,-0.0010986328,0.02645874,0.0011901855
0,0.022644043,-0.0010375977,0.024810791,0.0011291504
0,0.020904541,-0.0009460449,0.022918701,0.0010375977
0,0.018829346,-0.0008544922,0.020629883,0.0009460449
0,0.016906738,-0.00076293945,0.01852417,0.0008544922
0,0.014678955,-0.0006713867,0.016082764,0.0007324219
1,0.012329102,-0.0005493164,0.013519287,0.00061035156
1,0.009765625,-0.0004272461,0.010681152,0.00048828125
1,0.0071105957,-0.00030517578,0.0077819824,0.00036621094
1,0.0044555664,-0.00021362305,0.0048828125,0.00021362305
1,0.0016784668,-6.1035156e-05,0.0018615723,9.1552734e-05
1,-0.00079345703,3.0517578e-05,-0.0008544922,-3.0517578e-05
1,-0.0030212402,0.00012207031,-0.003326416,-0.00015258789
1,-0.0053710938,0.00024414062,-0.005859375,-0.0002746582
1,-0.0073242188,0.00033569336,-0.008026123,-0.00036621094
1,-0.009216309,0.00039672852,-0.010070801,-0.00045776367
1,-0.010925293,0.00048828125,-0.011932373,-0.0005187988
1,-0.012390137,0.0005493164,-0.013549805,-0.00061035156
1,-0.013519287,0.00061035156,-0.014770508,-0.00064086914
1,-0.014526367,0.00064086914,-0.01586914,-0.0007019043
1,-0.015167236,0.0006713867,-0.016571045,-0.0007324219
1,-0.015472412,0.0006713867,-0.016906738,-0.0007324219
1,-0.015319824,0.0006713867,-0.016723633,-0.0007324219
1,-0.015075684,0.0006713867,-0.016479492,-0.0007324219
1,-0.01449585,0.00064086914,-0.015838623,-0.0007019043
1,-0.013763428,0.00061035156,-0.015045166,-0.0006713867
1,-0.012786865,0.0005493164,-0.013946533,-0.00061035156
1,-0.011505127,0.0005187988,-0.012573242,-0.0005493164
1,-0.00982666,0.0004272461,-0.01071167,-0.00045776367
1,-0.008056641,0.00036621094,-0.0087890625,-0.00039672852
2,-0.006072998,0.0002746582,-0.0066223145,-0.00030517578
2,-0.0038146973,0.00015258789,-0.0041503906,-0.00018310547
2,-0.0015563965,6.1035156e-05,-0.0017089844,-6.1035156e-05
2,0.0008544922,-3.0517578e-05,0.0009460449,3.0517578e-05
2,0.003326416,-0.00015258789,0.0036315918,0.00015258789
2,0.005645752,-0.00024414062,0.006134033,0.0002746582
2,0.007873535,-0.00033569336,0.008605957,0.00036621094
2,0.010040283,-0.0004272461,0.010955811,0.00045776367
2,0.0119018555,-0.0005187988,0.012969971,0.0005493164
2,0.013336182,-0.000579834,0.014556885,0.00064086914
2,0.014862061,-0.00064086914,0.016204834,0.0007019043
2,0.01586914,-0.0007019043,0.01727295,0.0007324219
2,0.016784668,-0.0007019043,0.01828003,0.00079345703
2,0.01751709,-0.0007324219,0.019104004,0.0008239746
2,0.018035889,-0.00076293945,0.01965332,0.0008544922
2,0.018218994,-0.00076293945,0.019836426,0.0008544922
2,0.018218994,-0.00079345703,0.019866943,0.0008544922
2,0.017944336,-0.00076293945,0.019561768,0.0008239746
2,0.017547607,-0.0007324219,0.019073486,0.0008239746
2,0.016967773,-0.0007324219,0.018463135,0.00076293945
2,0.01638794,-0.0007019043,0.017852783,0.00076293945
2,0.015930176,-0.0006713867,0.017303467,0.0007324219
2,0.015289307,-0.00064086914,0.01663208,0.0007019043
2,0.014892578,-0.00061035156,0.016204834,0.0006713867
3,0.014282227,-0.00061035156,0.015533447,0.00064086914
3,0.013519287,-0.000579834,0.014709473,0.00061035156
3,0.012542725,-0.0005187988,0.013641357,0.000579834
3,0.011627197,-0.00048828125,0.012634277,0.0005187988
3,0.01071167,-0.0004272461,0.011627197,0.00048828125
3,0.009857178,-0.00039672852,0.01071167,0.00045776367
3,0.009033203,-0.00039672852,0.00982666,0.00039672852
3,0.008300781,-0.00036621094,0.009033203,0.00036621094
3,0.0077819824,-0.00033569336,0.008453369,0.00033569336
3,0.007385254,-0.00030517578,0.008026123,0.00033569336
3,0.007232666,-0.00030517578,0.007873535,0.00033569336
3,0.007080078,-0.0002746582,0.0076904297,0.00033569336
3,0.006866455,-0.0002746582,0.007446289,0.00030517578
3,0.006652832,-0.0002746582,0.007232666,0.00030517578
3,0.0065307617,-0.0002746582,0.007080078,0.0002746582
3,0.0064086914,-0.00024414062,0.0069274902,0.0002746582
3,0.0064086914,-0.00024414062,0.0069274902,0.0002746582
3,0.0063476562,-0.00024414062,0.006866455,0.0002746582
3,0.006225586,-0.00024414062,0.0067443848,0.0002746582
3,0.006286621,-0.00024414062,0.00680542,0.0002746582
3,0.0062561035,-0.00024414062,0.00680542,0.0002746582
3,0.006072998,-0.00024414062,0.0065612793,0.0002746582
3,0.005554199,-0.00021362305,0.006011963,0.00024414062
3,0.0048828125,-0.00021362305,0.0053100586,0.00021362305
4,0.004058838,-0.00015258789,0.004425049,0.00018310547
4,0.0031433105,-0.00012207031,0.0034179688,0.00015258789
4,0.0020751953,-9.1552734e-05,0.0022277832,9.1552734e-05
4,0.0010986328,-3.0517578e-05,0.001159668,3.0517578e-05
4,0.00024414062,0.0,0.0002746582,0.0
4,-0.00061035156,3.0517578e-05,-0.00064086914,-3.0517578e-05
4,-0.0016174316,6.1035156e-05,-0.0017700195,-6.1035156e-05
4,-0.0026245117,9.1552734e-05,-0.0028381348,-0.00012207031
4,-0.0035095215,0.00012207031,-0.0037841797,-0.00015258789
4,-0.004486084,0.00018310547,-0.004852295,-0.00018310547
4,-0.005279541,0.00021362305,-0.0057373047,-0.00021362305
4,-0.006164551,0.00024414062,-0.0066833496,-0.0002746582
4,-0.0070495605,0.0002746582,-0.007659912,-0.00030517578
4,-0.00793457,0.00030517578,-0.008605957,-0.00033569336
4,-0.0087890625,0.00033569336,-0.009521484,-0.00036621094
4,-0.009307861,0.00036621094,-0.010040283,-0.00039672852
4,-0.009521484,0.00039672852,-0.010314941,-0.00039672852
4,-0.009674072,0.00036621094,-0.010437012,-0.00039672852
4,-0.009429932,0.00036621094,-0.010192871,-0.00039672852
4,-0.009033203,0.00036621094,-0.009796143,-0.00039672852
4,-0.008270264,0.00030517578,-0.00894165,-0.00036621094
4,-0.0072631836,0.0002746582,-0.007843018,-0.00030517578
4,-0.0059509277,0.00024414062,-0.006439209,-0.00024414062
4,-0.004425049,0.00018310547,-0.0047912598,-0.00018310547
5,-0.00289917,9.1552734e-05,-0.003112793,-0.00012207031
5,-0.0012817383,6.1035156e-05,-0.001373291,-6.1035156e-05
5,0.000579834,-3.0517578e-05,0.00064086914,3.0517578e-05
5,0.0024414062,-9.1552734e-05,0.0026550293,0.00012207031
5,0.0043945312,-0.00018310547,0.0047302246,0.00018310547
5,0.0063171387,-0.00024414062,0.00680542,0.00024414062
5,0.008026123,-0.00030517578,0.008666992,0.00033569336
5,0.009552002,-0.00036621094,0.010314941,0.00039672852
5,0.011047363,-0.0004272461,0.011932373,0.00045776367
5,0.012145996,-0.00045776367,0.013122559,0.0005187988
5,0.013244629,-0.0005187988,0.014282227,0.0005493164
5,0.014190674,-0.0005493164,0.015319824,0.000579834
5,0.0152282715,-0.000579834,0.016418457,0.00061035156
5,0.016235352,-0.00061035156,0.01751709,0.0006713867
5,0.017303467,-0.0006713867,0.018676758,0.0007019043
5,0.018493652,-0.0007019043,0.019958496,0.00076293945
5,0.01965332,-0.0007324219,0.021209717,0.00079345703
5,0.0206604,-0.00076293945,0.022277832,0.0008239746
5,0.021270752,-0.00079345703,0.022949219,0.0008544922
5,0.021728516,-0.0008239746,0.023406982,0.00088500977
5,0.021636963,-0.0008239746,0.02331543,0.00088500977
5,0.021270752,-0.00079345703,0.022949219,0.0008544922
5,0.020690918,-0.00076293945,0.022277832,0.0008239746
